id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1300865,花牛,1187,水果,,苹果类,5.0,7.0,6.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300864,阿克苏,1187,水果,,苹果类,4.0,5.2,4.6,新疆,冰糖心,斤,2022-07-03 00:00:00,,138,,admin,,,
1300863,阳光玫瑰,1187,水果,,葡萄类,15.0,35.0,25.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300862,玫瑰香,1187,水果,,葡萄类,4.5,8.5,6.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300861,郁金香,1187,水果,,葡萄类,6.0,8.0,7.0,,茉莉香,斤,2022-07-03 00:00:00,,138,,admin,,,
1300860,乒乓球,1187,水果,,葡萄类,6.0,8.0,7.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300859,红提,1187,水果,,葡萄类,6.0,9.0,7.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300858,黑提,1187,水果,,葡萄类,5.0,8.0,6.5,,夏黑,斤,2022-07-03 00:00:00,,138,,admin,,,
1300857,青提,1187,水果,,葡萄类,4.0,5.0,4.5,,维多利亚,斤,2022-07-03 00:00:00,,138,,admin,,,
1300856,巨峰,1187,水果,,葡萄类,5.0,9.0,7.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300855,紫甜,1187,水果,,葡萄类,7.0,9.0,8.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300854,小台农,1187,水果,,芒果类,5.0,6.0,5.5,,生,斤,2022-07-03 00:00:00,,138,,admin,,,
1300853,大台农,1187,水果,,芒果类,6.0,7.0,6.5,,生,斤,2022-07-03 00:00:00,,138,,admin,,,
1300852,鹰嘴芒果,1187,水果,,芒果类,8.0,9.0,8.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300851,青皮芒果,1187,水果,,芒果类,4.5,6.5,5.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300850,象牙芒果,1187,水果,,芒果类,6.0,7.5,6.75,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300849,贵妃芒,1187,水果,,芒果类,6.0,9.0,7.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300848,澳芒,1187,水果,,芒果类,7.0,9.0,8.0,,新世纪\肯特,斤,2022-07-03 00:00:00,,138,,admin,,,
1300847,妃子笑,1187,水果,,荔枝类,8.0,12.0,10.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300846,鸡嘴,1187,水果,,荔枝类,10.0,13.0,11.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300845,红花,1187,水果,,荔枝类,6.0,7.0,6.5,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300844,玉荷包,1187,水果,,荔枝类,7.0,8.5,7.75,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300843,桂味,1187,水果,,荔枝类,14.0,18.0,16.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300842,美国红,1187,水果,,樱桃类,10.0,20.0,15.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300841,美早,1187,水果,,樱桃类,10.0,50.0,30.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300840,雷尼,1187,水果,,樱桃类,8.0,20.0,14.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300839,先锋,1187,水果,,樱桃类,8.0,18.0,13.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300838,沙蜜托,1187,水果,,樱桃类,10.0,20.0,15.0,,,斤,2022-07-03 00:00:00,,138,,admin,,,
1300837,白条猪,1189,肉禽蛋,1205,猪肉类,13.75,13.75,13.75,,瘦,斤,2022-07-03 00:00:00,,138,,admin,,,
1300836,白条猪,1189,肉禽蛋,1205,猪肉类,11.6,11.6,11.6,,肥,斤,2022-07-03 00:00:00,,138,,admin,,,
1300835,前臀尖,1189,肉禽蛋,1205,猪肉类,12.5,13.5,13.0,,瘦,斤,2022-07-03 00:00:00,,138,,admin,,,
